name,state,type,county
Abbotsford,WI,city,
Adams,WI,city,
Algoma,WI,city,
Alma,WI,city,
Altoona,WI,city,
Amery,WI,city,
Antigo,WI,city,
Appleton,WI,city,
Arcadia,WI,city,
Ashland,WI,city,
Augusta,WI,city,
Baraboo,WI,city,
Barron,WI,city,
Bayfield,WI,city,
Beaver Dam,WI,city,
Beloit,WI,city,
Berlin,WI,city,
Black River Falls,WI,city,
Blair,WI,city,
Bloomer,WI,city,
Boscobel,WI,city,
Brillion,WI,city,
Brodhead,WI,city,
Brookfield,WI,city,
Buffalo City,WI,city,
Burlington,WI,city,
Cedarburg,WI,city,
Chetek,WI,city,
Chilton,WI,city,
Chippewa Falls,WI,city,
Clintonville,WI,city,
Colby,WI,city,
Columbus,WI,city,
Cornell,WI,city,
Crandon,WI,city,
Cuba City,WI,city,
Cudahy,WI,city,
Cumberland,WI,city,
Darlington,WI,city,
Delafield,WI,city,
Delavan,WI,city,
De Pere,WI,city,
Dodgeville,WI,city,
Durand,WI,city,
Eagle River,WI,city,
Eau Claire,WI,city,
Edgerton,WI,city,
Elkhorn,WI,city,
Elroy,WI,city,
Evansville,WI,city,
Fennimore,WI,city,
Fitchburg,WI,city,
Fond du Lac,WI,city,
Fort Atkinson,WI,city,
Fountain City,WI,city,
Fox Lake,WI,city,
Franklin,WI,city,
Galesville,WI,city,
Gillett,WI,city,
Glendale,WI,city,
Glenwood City,WI,city,
Green Bay,WI,city,
Green Lake,WI,city,
Greenfield,WI,city,
Greenwood,WI,city,
Hartford,WI,city,
Hayward,WI,city,
Hillsboro,WI,city,
Horicon,WI,city,
Hudson,WI,city,
Hurley,WI,city,
Independence,WI,city,
Janesville,WI,city,
Jefferson,WI,city,
Juneau,WI,city,
Kaukauna,WI,city,
Kenosha,WI,city,
Kewaunee,WI,city,
Kiel,WI,city,
La Crosse,WI,city,
Ladysmith,WI,city,
Lake Geneva,WI,city,
Lake Mills,WI,city,
Lancaster,WI,city,
Lodi,WI,city,
Loyal,WI,city,
Madison,WI,city,
Manawa,WI,city,
Manitowoc,WI,city,
Marinette,WI,city,
Marion,WI,city,
Markesan,WI,city,
Marshfield,WI,city,
Mauston,WI,city,
Mayville,WI,city,
Medford,WI,city,
Mellen,WI,city,
Menasha,WI,city,
Menomonie,WI,city,
Mequon,WI,city,
Merrill,WI,city,
Middleton,WI,city,
Milton,WI,city,
Milwaukee,WI,city,
Mineral Point,WI,city,
Mondovi,WI,city,
Monona,WI,city,
Monroe,WI,city,
Montello,WI,city,
Montreal,WI,city,
Mosinee,WI,city,
Muskego,WI,city,
Neenah,WI,city,
Neillsville,WI,city,
Nekoosa,WI,city,
New Berlin,WI,city,
New Holstein,WI,city,
New Lisbon,WI,city,
New London,WI,city,
New Richmond,WI,city,
Niagara,WI,city,
Oak Creek,WI,city,
Oconomowoc,WI,city,
Oconto,WI,city,
Oconto Falls,WI,city,
Omro,WI,city,
Onalaska,WI,city,
Oshkosh,WI,city,
Osseo,WI,city,
Owen,WI,city,
Park Falls,WI,city,
Peshtigo,WI,city,
Pewaukee,WI,city,
Phillips,WI,city,
Pittsville,WI,city,
Platteville,WI,city,
Plymouth,WI,city,
Port Washington,WI,city,
Portage,WI,city,
Prairie du Chien,WI,city,
Prescott,WI,city,
Princeton,WI,city,
Racine,WI,city,
Reedsburg,WI,city,
Rhinelander,WI,city,
Rice Lake,WI,city,
Richland Center,WI,city,
Ripon,WI,city,
River Falls,WI,city,
St. Croix Falls,WI,city,
St. Francis,WI,city,
Schofield,WI,city,
Seymour,WI,city,
Shawano,WI,city,
Sheboygan,WI,city,
Sheboygan Falls,WI,city,
Shell Lake,WI,city,
Shullsburg,WI,city,
South Milwaukee,WI,city,
Sparta,WI,city,
Spooner,WI,city,
Stanley,WI,city,
Stevens Point,WI,city,
Stoughton,WI,city,
Sturgeon Bay,WI,city,
Sun Prairie,WI,city,
Superior,WI,city,
Thorp,WI,city,
Tomah,WI,city,
Tomahawk,WI,city,
Two Rivers,WI,city,
Verona,WI,city,
Viroqua,WI,city,
Washburn,WI,city,
Waterloo,WI,city,
Watertown,WI,city,
Waukesha,WI,city,
Waupaca,WI,city,
Waupun,WI,city,
Wausau,WI,city,
Wautoma,WI,city,
Wauwatosa,WI,city,
West Allis,WI,city,
West Bend,WI,city,
Westby,WI,city,
Weyauwega,WI,city,
Whitehall,WI,city,
Whitewater,WI,city,
Wisconsin Dells,WI,city,
Wisconsin Rapids,WI,city,
Adell,WI,village,
Albany,WI,village,
Allouez,WI,village,
Alma Center,WI,village,
Almena,WI,village,
Almond,WI,village,
Amherst,WI,village,
Amherst Junction,WI,village,
Aniwa,WI,village,
Arena,WI,village,
Argyle,WI,village,
Arlington,WI,village,
Arpin,WI,village,
Ashwaubenon,WI,village,
Athens,WI,village,
Auburndale,WI,village,
Avoca,WI,village,
Bagley,WI,village,
Baldwin,WI,village,
Balsam Lake,WI,village,
Bangor,WI,village,
Barneveld,WI,village,
Bay City,WI,village,
Bayside,WI,village,
Bear Creek,WI,village,
Belgium,WI,village,
Bell Center,WI,village,
Belleville,WI,village,
Bellevue,WI,village,
Belmont,WI,village,
Benton,WI,village,
Big Bend,WI,village,
Big Falls,WI,village,
Birchwood,WI,village,
Birnamwood,WI,village,
Biron,WI,village,
Black Creek,WI,village,
Black Earth,WI,village,
Blanchardville,WI,village,
Bloomfield,WI,village,
Bloomington,WI,village,
Blue Mounds,WI,village,
Blue River,WI,village,
Boaz,WI,village,
Bonduel,WI,village,
Bowler,WI,village,
Boyceville,WI,village,
Boyd,WI,village,
Brandon,WI,village,
Bristol,WI,village,
Brooklyn,WI,village,
Brown Deer,WI,village,
Brownsville,WI,village,
Browntown,WI,village,
Bruce,WI,village,
Butler,WI,village,
Butternut,WI,village,
Cadott,WI,village,
Caledonia,WI,village,
Cambria,WI,village,
Cambridge,WI,village,
Cameron,WI,village,
Camp Douglas,WI,village,
Campbellsport,WI,village,
Cascade,WI,village,
Casco,WI,village,
Cashton,WI,village,
Cassville,WI,village,
Catawba,WI,village,
Cazenovia,WI,village,
Cecil,WI,village,
Cedar Grove,WI,village,
Centuria,WI,village,
Chaseburg,WI,village,
Chenequa,WI,village,
Clayton,WI,village,
Clear Lake,WI,village,
Cleveland,WI,village,
Clinton,WI,village,
Clyman,WI,village,
Cobb,WI,village,
Cochrane,WI,village,
Coleman,WI,village,
Colfax,WI,village,
Coloma,WI,village,
Combined Locks,WI,village,
Conrath,WI,village,
Coon Valley,WI,village,
Cottage Grove,WI,village,
Couderay,WI,village,
Crivitz,WI,village,
Cross Plains,WI,village,
Curtiss,WI,village,
Dallas,WI,village,
Dane,WI,village,
Darien,WI,village,
DeForest,WI,village,
De Soto,WI,village,
Deer Park,WI,village,
Deerfield,WI,village,
Denmark,WI,village,
Dickeyville,WI,village,
Dorchester,WI,village,
Dousman,WI,village,
Downing,WI,village,
Doylestown,WI,village,
Dresser,WI,village,
Eagle,WI,village,
East Troy,WI,village,
Eastman,WI,village,
Eden,WI,village,
Edgar,WI,village,
Egg Harbor,WI,village,
Eland,WI,village,
Elderon,WI,village,
Eleva,WI,village,
Elk Mound,WI,village,
Elkhart Lake,WI,village,
Ellsworth,WI,village,
Elm Grove,WI,village,
Elmwood,WI,village,
Elmwood Park,WI,village,
Embarrass,WI,village,
Endeavor,WI,village,
Ephraim,WI,village,
Ettrick,WI,village,
Exeland,WI,village,
Fairchild,WI,village,
Fairwater,WI,village,
Fall Creek,WI,village,
Fall River,WI,village,
Fenwood,WI,village,
Ferryville,WI,village,
Fontana-on-Geneva Lake,WI,village,
Footville,WI,village,
Forestville,WI,village,
Fox Crossing,WI,village,
Fox Point,WI,village,
Francis Creek,WI,village,
Frederic,WI,village,
Fredonia,WI,village,
French Island,WI,village,
Fremont,WI,village,
Friendship,WI,village,
Friesland,WI,village,
Gays Mills,WI,village,
Genoa,WI,village,
Genoa City,WI,village,
Germantown,WI,village,
Gilman,WI,village,
Glen Flora,WI,village,
Glenbeulah,WI,village,
Grafton,WI,village,
Granton,WI,village,
Grantsburg,WI,village,
Gratiot,WI,village,
Greendale,WI,village,
Greenleaf,WI,village,
Greenville,WI,village,
Gresham,WI,village,
Hales Corners,WI,village,
Hammond,WI,village,
Hancock,WI,village,
Harrison,WI,village,
Hartland,WI,village,
Hatley,WI,village,
Haugen,WI,village,
Hawkins,WI,village,
Hazel Green,WI,village,
Hewitt,WI,village,
Highland,WI,village,
Hilbert,WI,village,
Hixton,WI,village,
Hobart,WI,village,
Hollandale,WI,village,
Holmen,WI,village,
Hortonville,WI,village,
Howard,WI,village,
Howards Grove,WI,village,
Hustisford,WI,village,
Hustler,WI,village,
Ingram,WI,village,
Iola,WI,village,
Iron Ridge,WI,village,
Ironton,WI,village,
Jackson,WI,village,
Johnson Creek,WI,village,
Junction City,WI,village,
Kekoskee,WI,village,
Kellnersville,WI,village,
Kendall,WI,village,
Kennan,WI,village,
Kewaskum,WI,village,
Kimberly,WI,village,
Kingston,WI,village,
Knapp,WI,village,
Kohler,WI,village,
Kronenwetter,WI,village,
La Farge,WI,village,
La Valle,WI,village,
Lac La Belle,WI,village,
Lake Delton,WI,village,
Lake Hallie,WI,village,
Lake Nebagamon,WI,village,
Lannon,WI,village,
Lena,WI,village,
Lime Ridge,WI,village,
Linden,WI,village,
Lisbon,WI,village,
Little Chute,WI,village,
Livingston,WI,village,
Loganville,WI,village,
Lohrville,WI,village,
Lomira,WI,village,
Lone Rock,WI,village,
Lowell,WI,village,
Lublin,WI,village,
Luck,WI,village,
Luxemburg,WI,village,
Lyndon Station,WI,village,
Lynxville,WI,village,
Maiden Rock,WI,village,
Maine,WI,village,
Maple Bluff,WI,village,
Marathon City,WI,village,
Maribel,WI,village,
Marquette,WI,village,
Marshall,WI,village,
Mason,WI,village,
Mattoon,WI,village,
Mazomanie,WI,village,
McFarland,WI,village,
Melrose,WI,village,
Melvina,WI,village,
Menomonee Falls,WI,village,
Merrillan,WI,village,
Merrimac,WI,village,
Merton,WI,village,
Milladore,WI,village,
Milltown,WI,village,
Minong,WI,village,
Mishicot,WI,village,
Montfort,WI,village,
Monticello,WI,village,
Mount Calvary,WI,village,
Mount Hope,WI,village,
Mount Horeb,WI,village,
Mount Pleasant,WI,village,
Mount Sterling,WI,village,
Mukwonago,WI,village,
Muscoda,WI,village,
Nashotah,WI,village,
Necedah,WI,village,
Nelson,WI,village,
Nelsonville,WI,village,
Neosho,WI,village,
Neshkoro,WI,village,
New Auburn,WI,village,
New Glarus,WI,village,
Newburg,WI,village,
Nichols,WI,village,
North Bay,WI,village,
North Fond du Lac,WI,village,
North Freedom,WI,village,
North Hudson,WI,village,
North Prairie,WI,village,
Norwalk,WI,village,
Oakdale,WI,village,
Oakfield,WI,village,
Oconomowoc Lake,WI,village,
Ogdensburg,WI,village,
Oliver,WI,village,
Ontario,WI,village,
Oostburg,WI,village,
Oregon,WI,village,
Orfordville,WI,village,
Osceola,WI,village,
Oxford,WI,village,
Paddock Lake,WI,village,
Palmyra,WI,village,
Pardeeville,WI,village,
Park Ridge,WI,village,
Patch Grove,WI,village,
Pepin,WI,village,
Pewaukee,WI,village,
Pigeon Falls,WI,village,
Plain,WI,village,
Plainfield,WI,village,
Pleasant Prairie,WI,village,
Plover,WI,village,
Plum City,WI,village,
Poplar,WI,village,
Port Edwards,WI,village,
Potosi,WI,village,
Potter,WI,village,
Pound,WI,village,
Poynette,WI,village,
Prairie du Sac,WI,village,
Prairie Farm,WI,village,
Prentice,WI,village,
Pulaski,WI,village,
Radisson,WI,village,
Randolph,WI,village,
Random Lake,WI,village,
Raymond,WI,village,
Readstown,WI,village,
Redgranite,WI,village,
Reedsville,WI,village,
Reeseville,WI,village,
Rewey,WI,village,
Rib Lake,WI,village,
Rib Mountain,WI,village,
Richfield,WI,village,
Ridgeland,WI,village,
Ridgeway,WI,village,
Rio,WI,village,
River Hills,WI,village,
Roberts,WI,village,
Rochester,WI,village,
Rock Springs,WI,village,
Rockdale,WI,village,
Rockland,WI,village,
Rosendale,WI,village,
Rosholt,WI,village,
Rothschild,WI,village,
Rudolph,WI,village,
St. Cloud,WI,village,
St. Nazianz,WI,village,
Salem Lakes,WI,village,
Sauk City,WI,village,
Saukville,WI,village,
Scandinavia,WI,village,
Sharon,WI,village,
Sheldon,WI,village,
Sherwood,WI,village,
Shiocton,WI,village,
Shorewood,WI,village,
Shorewood Hills,WI,village,
Siren,WI,village,
Sister Bay,WI,village,
Slinger,WI,village,
Soldiers Grove,WI,village,
Solon Springs,WI,village,
Somers,WI,village,
Somerset,WI,village,
South Wayne,WI,village,
Spencer,WI,village,
Spring Green,WI,village,
Spring Valley,WI,village,
Star Prairie,WI,village,
Stetsonville,WI,village,
Steuben,WI,village,
Stockbridge,WI,village,
Stockholm,WI,village,
Stoddard,WI,village,
Stratford,WI,village,
Strum,WI,village,
Sturtevant,WI,village,
Suamico,WI,village,
Sullivan,WI,village,
Summit,WI,village,
Superior,WI,village,
Suring,WI,village,
Sussex,WI,village,
Taylor,WI,village,
Tennyson,WI,village,
Theresa,WI,village,
Thiensville,WI,village,
Tigerton,WI,village,
Tony,WI,village,
Trempealeau,WI,village,
Turtle Lake,WI,village,
Twin Lakes,WI,village,
Union Center,WI,village,
Union Grove,WI,village,
Unity,WI,village,
Valders,WI,village,
Vernon,WI,village,
Vesper,WI,village,
Viola,WI,village,
Waldo,WI,village,
Wales,WI,village,
Walworth,WI,village,
Warrens,WI,village,
Waterford,WI,village,
Waukesha,WI,village,
Waunakee,WI,village,
Wausaukee,WI,village,
Wauzeka,WI,village,
Webster,WI,village,
West Baraboo,WI,village,
West Milwaukee,WI,village,
West Salem,WI,village,
Westfield,WI,village,
Weston,WI,village,
Weyerhaeuser,WI,village,
Wheeler,WI,village,
White Lake,WI,village,
Whitefish Bay,WI,village,
Whitelaw,WI,village,
Whiting,WI,village,
Wild Rose,WI,village,
Williams Bay,WI,village,
Wilson,WI,village,
Wilton,WI,village,
Wind Point,WI,village,
Windsor,WI,village,
Winneconne,WI,village,
Winter,WI,village,
Withee,WI,village,
Wittenberg,WI,village,
Wonewoc,WI,village,
Woodman,WI,village,
Woodville,WI,village,
Wrightstown,WI,village,
Wyeville,WI,village,
Wyocena,WI,village,
Yorkville,WI,village,
Yuba,WI,village,
Abrams,WI,town,Oconto
Ackley,WI,town,Langlade
Adams,WI,town,Adams
Adams,WI,town,Green
Adams,WI,town,Jackson
Addison,WI,town,Washington
Adrian,WI,town,Monroe
Agenda,WI,town,Ashland
Ahnapee,WI,town,Kewaunee
Ainsworth,WI,town,Langlade
Akan,WI,town,Richland
Alban,WI,town,Portage
Albany,WI,town,Green
Albany,WI,town,Pepin
Albion,WI,town,Dane
Albion,WI,town,Jackson
Albion,WI,town,Trempealeau
Alden,WI,town,Polk
Algoma,WI,town,Winnebago
Alma,WI,town,Buffalo
Alma,WI,town,Jackson
Almena,WI,town,Barron
Almon,WI,town,Shawano
Almond,WI,town,Portage
Alto,WI,town,Fond du Lac
Alvin,WI,town,Forest
Amberg,WI,town,Marinette
Amherst,WI,town,Portage
Amnicon,WI,town,Douglas
Anderson,WI,town,Burnett
Anderson,WI,town,Iron
Angelica,WI,town,Shawano
Angelo,WI,town,Monroe
Aniwa,WI,town,Shawano
Anson,WI,town,Chippewa
Antigo,WI,town,Langlade
Apple River,WI,town,Polk
Arbor Vitae,WI,town,Vilas
Arcadia,WI,town,Trempealeau
Arena,WI,town,Iowa
Argonne,WI,town,Forest
Argyle,WI,town,Lafayette
Arland,WI,town,Barron
Arlington,WI,town,Columbia
Armenia,WI,town,Juneau
Armstrong Creek,WI,town,Forest
Arpin,WI,town,Wood
Arthur,WI,town,Chippewa
Ashford,WI,town,Fond du Lac
Ashippun,WI,town,Dodge
Ashland,WI,town,Ashland
Athelstane,WI,town,Marinette
Atlanta,WI,town,Rusk
Auburn,WI,town,Chippewa
Auburn,WI,town,Fond du Lac
Auburndale,WI,town,Wood
Aurora,WI,town,Florence
Aurora,WI,town,Taylor
Aurora,WI,town,Waushara
Avon,WI,town,Rock
Aztalan,WI,town,Jefferson
Bagley,WI,town,Oconto
Baileys Harbor,WI,town,Door
Baldwin,WI,town,St. Croix
Balsam Lake,WI,town,Polk
Bangor,WI,town,La Crosse
Baraboo,WI,town,Sauk
Barksdale,WI,town,Bayfield
Barnes,WI,town,Bayfield
Barre,WI,town,La Crosse
Barron,WI,town,Barron
Barronett,WI,town,Washburn
Bartelme,WI,town,Shawano
Barton,WI,town,Washington
Bashaw,WI,town,Washburn
Bass Lake,WI,town,Sawyer
Bass Lake,WI,town,Washburn
Bayfield,WI,town,Bayfield
Bayview,WI,town,Bayfield
Bear Bluff,WI,town,Jackson
Bear Creek,WI,town,Sauk
Bear Creek,WI,town,Waupaca
Bear Lake,WI,town,Barron
Beaver Brook,WI,town,Washburn
Beaver Dam,WI,town,Dodge
Beaver,WI,town,Clark
Beaver,WI,town,Marinette
Beaver,WI,town,Polk
Beecher,WI,town,Marinette
Beetown,WI,town,Grant
Belgium,WI,town,Ozaukee
Belle Plaine,WI,town,Shawano
Belmont,WI,town,Lafayette
Belmont,WI,town,Portage
Beloit,WI,town,Rock
Belvidere,WI,town,Buffalo
Bennett,WI,town,Douglas
Benton,WI,town,Lafayette
Bergen,WI,town,Marathon
Bergen,WI,town,Vernon
Berlin,WI,town,Green Lake
Berlin,WI,town,Marathon
Bern,WI,town,Marathon
Berry,WI,town,Dane
Bevent,WI,town,Marathon
Big Bend,WI,town,Rusk
Big Falls,WI,town,Rusk
Big Flats,WI,town,Adams
Birch Creek,WI,town,Chippewa
Birch,WI,town,Lincoln
Birchwood,WI,town,Washburn
Birnamwood,WI,town,Shawano
Black Brook,WI,town,Polk
Black Creek,WI,town,Outagamie
Black Earth,WI,town,Dane
Black Wolf,WI,town,Winnebago
Blackwell,WI,town,Forest
Blaine,WI,town,Burnett
Blanchard,WI,town,Lafayette
Bloom,WI,town,Richland
Bloomer,WI,town,Chippewa
Bloomfield,WI,town,Walworth
Bloomfield,WI,town,Waushara
Blooming Grove,WI,town,Dane
Bloomington,WI,town,Grant
Blue Mounds,WI,town,Dane
Bone Lake,WI,town,Polk
Boscobel,WI,town,Grant
Boulder Junction,WI,town,Vilas
Bovina,WI,town,Outagamie
Bradford,WI,town,Rock
Bradley,WI,town,Lincoln
Brazeau,WI,town,Oconto
Breed,WI,town,Oconto
Bridge Creek,WI,town,Eau Claire
Bridgeport,WI,town,Crawford
Brigham,WI,town,Iowa
Brighton,WI,town,Kenosha
Brighton,WI,town,Marathon
Brillion,WI,town,Calumet
Bristol,WI,town,Dane
Brockway,WI,town,Jackson
Brookfield,WI,town,Waukesha
Brooklyn,WI,town,Green
Brooklyn,WI,town,Green Lake
Brooklyn,WI,town,Washburn
Brothertown,WI,town,Calumet
Browning,WI,town,Taylor
Brule,WI,town,Douglas
Brunswick,WI,town,Eau Claire
Brussels,WI,town,Door
Buchanan,WI,town,Outagamie
Buena Vista,WI,town,Portage
Buena Vista,WI,town,Richland
Buffalo,WI,town,Buffalo
Buffalo,WI,town,Marquette
Burke,WI,town,Dane
Burlington,WI,town,Racine
Burnett,WI,town,Dodge
Burns,WI,town,La Crosse
Burnside,WI,town,Trempealeau
Butler,WI,town,Clark
Byron,WI,town,Fond du Lac
Byron,WI,town,Monroe
Cable,WI,town,Bayfield
Cadiz,WI,town,Green
Cady,WI,town,St. Croix
Calamus,WI,town,Dodge
Caledonia,WI,town,Columbia
Caledonia,WI,town,Trempealeau
Caledonia,WI,town,Waupaca
Calumet,WI,town,Fond du Lac
Cameron,WI,town,Wood
Canton,WI,town,Buffalo
Carey,WI,town,Iron
Carlton,WI,town,Kewaunee
Carson,WI,town,Portage
Cary,WI,town,Wood
Casco,WI,town,Kewaunee
Casey,WI,town,Washburn
Cassel,WI,town,Marathon
Cassian,WI,town,Oneida
Cassville,WI,town,Grant
Castle Rock,WI,town,Grant
Caswell,WI,town,Forest
Catawba,WI,town,Price
Cato,WI,town,Manitowoc
Cedar Lake,WI,town,Barron
Cedar Rapids,WI,town,Rusk
Cedarburg,WI,town,Ozaukee
Center,WI,town,Outagamie
Center,WI,town,Rock
Centerville,WI,town,Manitowoc
Charlestown,WI,town,Calumet
Chase,WI,town,Oconto
Chelsea,WI,town,Taylor
Chester,WI,town,Dodge
Chetek,WI,town,Barron
Chicog,WI,town,Washburn
Chilton,WI,town,Calumet
Chimney Rock,WI,town,Trempealeau
Chippewa,WI,town,Ashland
Christiana,WI,town,Dane
Christiana,WI,town,Vernon
Cicero,WI,town,Outagamie
City Point,WI,town,Jackson
Clam Falls,WI,town,Polk
Clarno,WI,town,Green
Clay Banks,WI,town,Door
Clayton,WI,town,Crawford
Clayton,WI,town,Polk
Clayton,WI,town,Winnebago
Clear Creek,WI,town,Eau Claire
Clear Lake,WI,town,Polk
Clearfield,WI,town,Juneau
Cleveland,WI,town,Chippewa
Cleveland,WI,town,Jackson
Cleveland,WI,town,Marathon
Cleveland,WI,town,Taylor
Clifton,WI,town,Grant
Clifton,WI,town,Monroe
Clifton,WI,town,Pierce
Clinton,WI,town,Barron
Clinton,WI,town,Rock
Clinton,WI,town,Vernon
Clover,WI,town,Bayfield
Cloverland,WI,town,Douglas
Cloverland,WI,town,Vilas
Clyde,WI,town,Iowa
Clyman,WI,town,Dodge
Colburn,WI,town,Adams
Colburn,WI,town,Chippewa
Colby,WI,town,Clark
Cold Spring,WI,town,Jefferson
Colfax,WI,town,Dunn
Coloma,WI,town,Waushara
Columbus,WI,town,Columbia
Commonwealth,WI,town,Florence
Concord,WI,town,Jefferson
Conover,WI,town,Vilas
Cooks Valley,WI,town,Chippewa
Coon,WI,town,Vernon
Cooperstown,WI,town,Manitowoc
Corning,WI,town,Lincoln
Cottage Grove,WI,town,Dane
Couderay,WI,town,Sawyer
Courtland,WI,town,Columbia
Crandon,WI,town,Forest
Cranmoor,WI,town,Wood
Crescent,WI,town,Oneida
Cross Plains,WI,town,Dane
Cross,WI,town,Buffalo
